datetime_col,float_col,int_col,categorical_col,bool_col
2018-01-01 00:00:00,0.06344568236468229,-59,Medium,False
2018-01-01 01:00:00,0.815256113385573,-57,Off,False
2018-01-01 02:00:00,0.8881149142461208,85,High,False
2018-01-01 03:00:00,0.3321301458191068,65,Low,True
2018-01-01 04:00:00,0.6801289226493853,53,Medium,False
2018-01-01 05:00:00,0.9897370104714032,-27,High,False
2018-01-01 06:00:00,0.40473494723140324,16,Low,False
2018-01-01 07:00:00,0.7824334913441574,-18,Low,True
2018-01-01 08:00:00,0.21242215853981095,-82,Low,True
2018-01-01 09:00:00,0.32097491125571076,-71,Low,False
2018-01-01 10:00:00,0.8190233332864125,59,Low,False
2018-01-01 11:00:00,0.5533907538064402,50,Low,True
2018-01-01 12:00:00,0.46739350509995503,92,Off,True
2018-01-01 13:00:00,0.8355189314198226,-49,High,False
2018-01-01 14:00:00,0.9609202127359403,-2,Low,False
2018-01-01 15:00:00,0.0217209009917827,64,Low,True
2018-01-01 16:00:00,0.8960593947257525,-9,Low,True
2018-01-01 17:00:00,0.5851948612148149,26,Low,False
2018-01-01 18:00:00,0.22458027389443658,-18,Low,False
2018-01-01 19:00:00,0.6247029410404924,-19,Low,False
2018-01-01 20:00:00,0.479861739154414,25,Low,True
2018-01-01 21:00:00,0.1484272382886317,-35,High,True
2018-01-01 22:00:00,0.21194626659422156,96,Off,False
2018-01-01 23:00:00,0.5468520113080365,69,Low,True
2018-01-02 00:00:00,0.01734367320198038,41,Low,True
2018-01-02 01:00:00,0.8064260806940918,-24,Low,False
2018-01-02 02:00:00,0.4990563941962942,88,Low,True
2018-01-02 03:00:00,0.6664668263095725,91,High,True
2018-01-02 04:00:00,0.48157737344479457,16,Off,False
2018-01-02 05:00:00,0.706034174363769,-50,High,False
2018-01-02 06:00:00,0.3616640984887851,15,Low,True
2018-01-02 07:00:00,0.6449580628197058,10,Low,False
2018-01-02 08:00:00,0.14373214108626087,-40,Low,True
2018-01-02 09:00:00,0.03589232318893942,-94,Low,False
2018-01-02 10:00:00,0.15085401453817893,-31,Low,False
2018-01-02 11:00:00,0.6549034645260303,71,Medium,True
2018-01-02 12:00:00,0.7149915563335432,-21,Off,True
2018-01-02 13:00:00,0.580006323411209,-51,Low,True
2018-01-02 14:00:00,0.06697917145503351,12,Low,True
2018-01-02 15:00:00,0.5263346437565305,43,Off,True
2018-01-02 16:00:00,0.7456874234074357,12,Low,False
2018-01-02 17:00:00,0.5098309097225936,-18,Off,True
2018-01-02 18:00:00,0.5153781441235714,49,Low,True
2018-01-02 19:00:00,0.45750236606125283,23,Low,False
2018-01-02 20:00:00,0.825620380817177,33,Low,True
2018-01-02 21:00:00,0.9033874587132542,26,Off,True
2018-01-02 22:00:00,0.47306108932869817,-39,Medium,True
2018-01-02 23:00:00,0.6230259831261702,25,Low,False
2018-01-03 00:00:00,0.5154018637381994,-30,Medium,True
2018-01-03 01:00:00,0.11769859549127781,-47,Low,False
2018-01-03 02:00:00,0.7912501911781232,-38,Low,False
2018-01-03 03:00:00,0.36342080752716155,-79,Low,False
2018-01-03 04:00:00,0.5789670565656956,-13,Low,True
2018-01-03 05:00:00,0.5072337887767044,-100,Medium,False
2018-01-03 06:00:00,0.47492215674113747,-3,Low,False
2018-01-03 07:00:00,0.1646404204505344,-56,Low,False
